458.7054,38.16021;
454.7622,76.19167;
409.3194,231.8971;
216.4232,461.9238;
186.4049,481.4575;
154.8143,499.33;
121.7093,515.4111;
87.16769,529.5631;
51.27801,541.6474;
14.14317,551.5239;
-24.11727,559.0527;
-63.36784,564.0958;
-103.4496,566.518;
-144.1907,566.1915;
-186.0746,562.9194;
-226.8493,556.8246;
-268.9089,547.4279;
-310.093,535.008;
-350.6706,519.4329;
-390.5095,500.6176;
-428.9838,478.7458;
-466.4728,453.4291;
-502.0164,425.1319;
-535.5992,393.7314;
-566.8008,359.4426;
-595.3079,322.4494;
-620.8291,282.9661;
-643.0869,241.2554;
-661.8352,197.6103;
-676.8613,152.356;
-687.9905,105.8457;
-695.0916,58.45433;
-698.0796,10.57154;
-696.9182,-37.39474;
-691.622,-85.04964;
-682.2544,-131.9943;
-668.9256,-177.8495;
-651.7932,-222.2455;
-631.0518,-264.8491;
-606.9379,-305.3447;
-579.6301,-343.5683;
-549.6602,-378.9684;
-517.0864,-411.6624;
-482.3082,-441.3852;
-445.6479,-468.0168;
-407.4308,-491.4737;
-367.966,-511.7146;
-327.5678,-528.7226;
-286.5265,-542.5164;
-245.136,-553.1352;
-203.639,-560.6504;
-162.3014,-565.1439;
-120.5576,-566.7227;
-80.93513,-565.4937;
-41.28801,-561.5878;
-2.585709,-555.1392;
35.30452,-546.2141;
71.61813,-535.1154;
106.6675,-521.8903;
140.4109,-506.644;
173.4132,-489.1234;
203.394,-470.7272;
232.5062,-450.3225;
259.9638,-428.4592;
285.7291,-405.2592;
309.9697,-380.6264;
332.192,-355.1632;
352.6618,-328.7033;
371.3674,-301.3446;
388.3383,-273.1115;
403.5131,-244.1732;
416.8883,-214.6179;
428.5884,-184.1691;
438.2307,-153.9942;
446.233,-122.9246;
452.3752,-91.77943;
456.7121,-60.48383;
459.2645,-28.93266;
460.0132,2.68541;
458.9582,34.29728;
456.0275,66.42996;
451.437,97.20864;
444.8704,128.7794;
436.6989,159.2077;
426.537,189.9108;
414.744,219.6766;
401.0141,249.2311;
385.5824,277.959;
368.3087,306.0604;
349.2298,333.3701;
328.4014,359.7272;
305.8136,385.0656;
280.9363,409.7917;
254.8653,432.7287;
227.6778,453.8939;
197.799,474.3521;
167.3043,492.5733;
134.7809,509.3684;
100.6093,524.3604;
65.25922,537.2452;
28.75199,547.9474;
-9.087272,556.4079;
-47.96862,562.4354;
-87.74634,565.8943;
-128.9461,566.6422;
-169.3044,564.5891;
-211.2151,559.5059;
-252.1803,551.5525;
-293.5334,540.3977;
-334.4816,526.0616;
-374.7417,508.5053;
-414.0162,487.7168;
-451.9943,463.7147;
-488.357,436.5518;
-522.7811,406.3171;
-555.4766,372.542;
-584.5426,337.1684;
-611.2612,298.626;
-634.8196,257.7528;
-654.9633,214.8226;
-671.462,170.1556;
-684.1746,123.8858;
-692.8107,76.99667;
-697.4096,29.22901;
-697.8643,-18.72002;
-694.1739,-66.548;
-686.1039,-115.1336;
-674.5798,-160.1402;
-658.513,-206.1385;
-639.5477,-248.4843;
-616.7189,-289.834;
-590.0397,-329.7766;
-561.6833,-365.4621;
-529.7951,-399.5281;
-494.8196,-431.238;
-460.1341,-458.0145;
-422.4838,-482.7166;
-383.4679,-504.2138;
-343.0867,-522.6085;
-302.5755,-537.522;
-261.2879,-549.3712;
-219.8038,-558.0864;
-178.3058,-563.7529;
-137.2204,-566.4464;
-96.59194,-566.2971;
-56.63845,-563.4204;
-17.54657,-557.9458;
20.53365,-550.008;
58.09166,-539.5498;
93.1328,-527.3011;
127.4348,-512.8124;
160.2877,-496.4174;
191.6148,-478.254;
221.3588,-458.4523;
249.4644,-437.1437;
275.8948,-414.4488;
300.6571,-390.4442;
323.5961,-365.3768;
344.8278,-339.2135;
364.2729,-312.1298;
381.9405,-284.1988;
397.8153,-255.525;
411.899,-226.1835;
424.1674,-196.3092;
434.7477,-165.5921;
443.3076,-135.1666;
450.1706,-104.0767;
455.2485,-72.5978;
458.4847,-41.23513;
459.9359,-9.635736;
459.5836,21.98723;
457.3889,53.95815;
453.468,85.00687;
447.7041,116.2559;
440.1305,147.2506;
430.6742,178.1181;
419.5863,208.0482;
406.6058,237.7303;
391.8083,266.8442;
375.2504,295.2056;
356.7504,323.0099;
336.7389,349.558;
314.8253,375.3178;
291.1609,399.9938;
265.7719,423.4716;
238.0896,446.0947;
209.3605,466.7596;
179.1044,485.8211;
147.6293,503.0412;
113.8627,518.8531;
79.18079,532.4765;
43.17844,544.0239;
5.783885,553.3939;
-32.70757,560.3855;
-72.15501,564.8609;
-112.945,566.6927;
-153.2613,565.7365;
-194.5397,561.8926;
-236.241,555.0049;
-277.4578,545.1182;
-318.6504,532.008;
-359.1593,515.7285;
-398.8537,496.1987;
-437.3748,473.4439;
-474.4038,447.5046;
-509.6233,418.4521;
-543.1127,385.9741;
-573.3408,351.496;
-601.213,313.9327;
-626.0472,273.9139;
-648.0385,230.6744;
-665.8425,186.731;
-679.6834,142.0902;
-689.9114,95.42839;
-696.17,47.18063;
-698.1803,-0.02843678;
-696.1028,-47.96203;
-689.8983,-95.50396;
-679.618,-142.3372;
-665.4612,-187.7969;
-647.5035,-231.8461;
-626.0049,-273.9888;
-601.1827,-313.9771;
-573.2947,-351.5531;
-542.67,-386.4393;
-508.7465,-419.2342;
-474.362,-447.5365;
-437.3232,-473.4771;
-398.8094,-496.2226;
-358.6072,-515.9742;
-318.11,-532.2018;
-277.3383,-545.1515;
-235.7796,-555.098;
-194.4918,-561.8987;
-153.2166,-565.7391;
-112.2574,-566.6852;
-72.1039,-564.8568;
-32.66461,-560.3791;
5.825182,-553.385;
43.93345,-543.8077;
79.39045,-532.4017;
114.2367,-518.6922;
147.9613,-502.8724;
179.5941,-485.5329;
210.2116,-466.185;
238.9601,-445.4258;
266.049,-423.2302;
291.1879,-399.9673;
314.8504,-375.2901;
336.7778,-349.5094;
357.4809,-321.977;
375.2687,-295.1763;
391.8943,-266.6865;
406.6211,-237.6979;
419.6043,-208.0036;
430.8015,-177.7411;
440.1449,-147.1983;
447.7111,-116.2234;
453.4733,-84.97276;
457.4311,-53.52466;
459.585,-21.95241;
459.9348,9.703912;
458.482,41.27122;
455.2253,72.77369;
450.1631,104.1154;
443.2984,135.2033;
434.6286,165.9728;
424.1547,196.3428;
411.6845,226.6652;
397.7979,255.5585;
381.9203,284.2327;
364.2512,312.162;
344.7967,339.2543;
323.5709,365.4062;
300.5812,390.5223;
275.8652,414.4758;
249.4325,437.1695;
221.3241,458.477;
191.5773,478.2773;
160.2452,496.4403;
127.3945,512.8309;
93.09035,527.3174;
57.41959,539.7607;
20.47461,550.0224;
-17.59446,557.9541;
-56.68695,563.4255;
-96.64252,566.299;
-137.2865,566.4443;
-178.4287,563.7405;
-220.3284,557.9954;
-261.3404,549.3582;
-302.627,537.5051;
-343.4487,522.4597;
-383.5757,504.1596;
-422.5677,482.6662;
-460.1906,457.9743;
-496.1422,430.131;
-530.0966,399.2311;
-561.7218,365.4175;
-590.7636,328.7842;
-616.7493,289.7841;
-639.5739,248.4318;
-659.1707,204.4826;
-674.5965,160.0847;
-686.3939,113.757;
-694.1812,66.48829;
-697.8663,18.66119;
-697.4048,-29.31969;
-692.6476,-78.15197;
-684.1141,-124.1494;
-671.1907,-170.9969;
-654.9398,-214.8788;
-634.7922,-257.8054;
-611.2303,-298.6747;
-584.3166,-337.467;
-554.9104,-373.1763;
-522.7364,-406.3595;
-488.3086,-436.591;
-450.9561,-464.4268;
-413.9671,-487.7451;
-374.5708,-508.5876;
-334.4306,-526.0816;
-293.4823,-540.4135;
-252.1294,-551.5643;
-209.7207,-559.7395;
-169.2521,-564.5936;
-128.2019,-566.6542;
-87.69875,-565.8918;
-47.37125,-562.3628;
-9.040463,-556.399;
28.79718,-547.9357;
65.81723,-537.0615;
100.8331,-524.2706;
134.9872,-509.2699;
167.3884,-492.5265;
198.3256,-474.0148;
227.7121,-453.8689;
255.9539,-431.8255;
281.5057,-409.2588;
305.8426,-385.035;
328.6351,-359.4486;
349.2719,-333.3136;
368.3309,-306.0266;
385.622,-277.8901;
401.0806,-249.0981;
414.7595,-219.6405;
426.6507,-189.5978;
436.7102,-159.1699;
444.9796,-128.3207;
451.444,-97.16941;
456.1045,-65.7888;
458.9607,-34.25701;
460.0133,-2.645086;
459.2624,28.97207;
456.7077,60.52398;
452.3492,91.93446;
446.1866,123.1291;
438.2196,154.0328;
428.4174,184.6554;
416.8727,214.6551;
403.4944,244.2115;
388.3179,273.1479;
371.3451,301.3794;
352.5865,328.8068;
331.8392,355.592;
309.7458,380.8679;
285.6975,405.2894;
259.9283,428.4893;
231.7781,450.866;
203.3568,470.7515;
172.6365,489.5674;
139.8492,506.9192;
106.6173,521.911;
71.14686,535.276;
35.01561,546.2922;
-2.792088,555.1806;
-41.34914,561.5959;
-80.98647,565.497;
-121.3846,566.72;
-162.3556,565.1399;
-203.6993,560.6417;
-245.9191,552.9637;
-286.5836,542.4995;
-328.0848,528.5271;
-368.0172,511.6907;
-407.4783,491.447;
-445.6981,467.9832;
-482.3549,441.3482;
-517.1291,411.6229;
-549.6985,378.9267;
-579.7484,343.4163;
-606.9711,305.2939;
-631.0826,264.7919;
-651.8167,222.1915;
-668.9453,177.7914;
-682.2683,131.9375;
-691.6315,84.98875;
-696.9324,37.18493;
-698.0776,-10.67267;
-695.0854,-58.51267;
-687.7556,-107.0481;
-676.8446,-152.4142;
-661.813,-197.6688;
-642.6793,-242.1014;
-620.7953,-283.0236;
-595.2744,-322.4969;
-566.2962,-360.0437;
-535.559,-393.7722;
-501.6345,-425.4611;
-466.3229,-453.5391;
-428.7569,-478.8863;
-390.1273,-500.816;
